"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18356309182226473,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	⁨اذا عندك هاد الصديق سويله تاج و احكيله "" شكراً من القلب🤍""⁩",10,"04/16/2026 09:01",https://www.instagram.com/reel/DXMs6gHE08K/,"IG reel",,Lifetime,128963,82219,3385,5075,61,93,886
17884376298482591,17841401519683378,moataz_mashal,"Moataz Mashal","كثير ناس بتتغير فقط بعد ألم، سواء كان ألم خسارة، أو مرض، أو صدمة.
كأن الألم هو اللي بيصحينا… غصب عنا.

بنكمّل ونسكت… لحد ما نوصل إنه ما عاد نقدر نتحمل.
وبيكون الخيار إما نتغير… أو ننكسر.

طب ليش نستنى الألم الشديد؟
ليش ما نصحى بوعينا مش بوجعنا؟

يمكن الوجع بيصحّي…
ولكن الوعي هو اللي بينقذك قبل ما توصل للألم.",0,"04/17/2026 09:07",https://www.instagram.com/reel/DXPSb5UCLS9/,"IG reel",,Lifetime,123751,83133,4381,996,466,47,1084
18097024685106069,17841401519683378,moataz_mashal,"Moataz Mashal","التربية مش دايمًا صراخ وعناد…
ممكن تكون تفاهم، هدوء، ونقاش.

مش لازم نأمر الطفل بكل شي… ممكن نعطيه خيارات بطريقة ذكية، عشان يتعلم يختار، يفهم، ويتحمّل.

حرية مقنّنة… مش فوضى، ولا سيطرة.

لأن الهدف مش طفل “مطيع” وبس…
الهدف شخصية تنبني صح، وثقة تكبر معه وهو حاسس إنه مسموع ومفهوم.

علق ب كلمة ""اختيار"" حيوصلك ملف فيه أمثلة بسيطة لكيف نحول الأوامر إلى خيارات بطريقة ذكية و بسيطة.",0,"04/18/2026 09:00",https://www.instagram.com/p/DXR2l8aiJLr/,"IG carousel",,Lifetime,113802,41565,985,879,19,98,532
18069970091660897,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	العلاقة الصحية ما بتتطلب من طرف فيها إنه يختفي بتتطلب حضور الطرفين بالكامل⁩",0,"04/19/2026 08:58",https://www.instagram.com/reel/DXUbBjjiL0k/,"IG reel",,Lifetime,46377,28312,980,158,14,21,266
17908719528391509,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	تعلم كيف تتحدى أي ضغوطات بحياتك…⁩",54,"04/20/2026 09:01",https://www.instagram.com/reel/DXXAtHCBP6r/,"IG reel",,Lifetime,93094,63988,3847,1230,115,54,794
18200639206345269,17841401519683378,moataz_mashal,"Moataz Mashal",".
أخطر مكان ممكن تعيش فيه… مش الماضي، ولا المستقبل…
المكان اللي أنت فيه هلأ بس مش حاضر فيه.

لما تكون قاعد مع ناس بتحبهم… بس عقلك بمكان ثاني، لما تمرّ أيامك… وما تحس فيها، لما تخلص يومك… وما تتذكر منه إشي.

المشكلة مش إنك مشغول… المشكلة إنك غايب.
غايب عن لحظات ممكن تكون أجمل من كل اللي بتلاحقه، غايب عن ناس يمكن بكرا ما يكونوا موجودين، وغايب عن نفسك… اللي عم تستناك ترجع.

الحياة ما بتنسرق منا مرة وحدة… بتنسرق بالتدريج، لحظة ورا لحظة… وإحنا مش منتبهين.

يمكن ما تحتاج تغيّر كل شي… بس محتاج ترجع تحس، ترجع تنتبه، ترجع تعيش اللحظات بحلوها ومرها، تعيش تفاصيل اليوم مع الناس اللي بتحبهم …. تستمتع باللحظة حتى مع حالك.

لأنه بالنهاية… أجمل اللحظات ما بترجع.
وأسوأ شعور… إنك تكتشف أنك كنت موجود… بس مش عايش.",0,"04/21/2026 09:04",https://www.instagram.com/p/DXZlZCZjTjU/,"IG image",,Lifetime,61200,32150,847,24,2,27,37
18097142792012661,17841401519683378,moataz_mashal,"Moataz Mashal","نفس عن غضبك بطريقة صحيحة 👌",0,"04/22/2026 09:00",https://www.instagram.com/reel/DXcJe6ECAsu/,"IG reel",,Lifetime,67060,42645,2509,957,47,32,668
18084025283077465,17841401519683378,moataz_mashal,"Moataz Mashal","البدايات كُتبت وانتهت، مهما رجعت لها، ما رح تتغيّر.
لكن النهاية… لسه بإيدك.

كم مرة وقفت عند نفس النقطة؟
تلوم، تندم، تعيد نفس السؤال: ""ليش صار هيك؟"" وكأنك تنتظر جواب يغيّر الماضي… بس الحقيقة؟ الماضي ما بيتغير، أنت اللي بتتغير.

قوتك مش في إنك تصلّح اللي فات، قوتك في إنك ما تسمح له يحدد اللي جاي.

مش مطلوب منك تمحي الألم، ولا تتجاهل التجربة، المطلوب إنك تستخدمها… تبني منها وعي، وقرار، واتجاه جديد.

في ناس بتضيع عمرها تحاول تفهم البداية، وفي ناس بتصنع نهاية تخلي كل اللي مرّ كان يستاهل.

اسأل نفسك:
هل أنا عايش عشان أفسّر الماضي؟
ولا عشان أخلق مستقبل مختلف؟

ابدأ من مكانك… حتى لو متأخر، حتى لو تعبان، حتى لو مش واضح الطريق.
كل خطوة واعية اليوم… بتعيد كتابة النهاية.

لا ترهق نفسك بمحاولة تغيير بداية مضت… ابذل جهدك في صناعة نهاية تليق بك.

النهاية اللي تخلّيك تقول:
""كل اللي صار… كان طريق ما كان صدفة."" ✨⁩",5,"04/23/2026 09:01",https://www.instagram.com/reel/DXeug8zCOhh/,"IG reel",,Lifetime,50610,29596,867,111,2,5,185
18043043018785092,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	خطوات بسيطة لاتخاذ أي قرار مصيري بحياتك⁩…",70,"04/24/2026 09:05",https://www.instagram.com/reel/DXhT5P8h8_n/,"IG reel",,Lifetime,48277,28833,1460,405,11,23,490
17944958967180677,17841401519683378,moataz_mashal,"Moataz Mashal","⁨الفرق بين الرضا و الاستسلام… شاركها مع حدا ممكن يستفيد منها⁩",0,"04/25/2026 09:02",https://www.instagram.com/p/DXj4U6FCE35/,"IG carousel",,Lifetime,92806,34153,718,181,3,4,325
18101108044802795,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	صلاتك عادة ولا خشوع و عبادة؟!⁩",0,"04/26/2026 09:02",https://www.instagram.com/reel/DXmc5XZiGVA/,"IG reel",,Lifetime,70524,45980,3591,1227,76,59,543
17994270797947589,17841401519683378,moataz_mashal,"Moataz Mashal","اسمع للآخر لتعرف إذا أنت في علاقة صحية",0,"04/27/2026 09:01",https://www.instagram.com/reel/DXpBqbLCCaF/,"IG reel",,Lifetime,49854,31620,1332,397,14,17,343
